info: Jan-24-2022 15:36:14: 	Connected to Database
info: Jan-24-2022 15:37:01: 	Validation get.records body: {"startDate":"201801-26","endDate":"2018-01-27","minCount":2700,"maxCount":3000}
error: Jan-24-2022 15:37:01: 	Error
info: Jan-24-2022 15:37:18: 	Validation get.records body: {"startDate":"2018-01-27","endDate":"2018-01-27","minCount":2700,"maxCount":3000}
info: Jan-24-2022 15:38:05: 	Validation get.records body: {"startDate":"2016-01-26","endDate":"2018-02-02","minCount":2700,"maxCount":3000}
error: Jan-24-2022 15:38:16: 	Error
error: Jan-24-2022 15:38:20: 	Error
error: Jan-24-2022 15:38:25: 	Error
error: Jan-24-2022 15:38:44: 	Error
info: Jan-24-2022 15:38:49: 	Validation get.records body: {"startDate":"2016-01-26","endDate":"2018-02-02","minCount":6000,"maxCount":3000}
error: Jan-24-2022 15:38:49: 	Error
